,PId,Type,Delay,mean h_score,std h_score,median h_score
0,IM175,EFT,1 month-1,0.2868571428571429,0.25809599003023354,0.2945
1,IM175,EFT,1 month-2,0.133955223880597,0.18252815746550488,0.063
2,IM175,EFT,1 week-1,0.2495149253731344,0.281456462667074,0.113
3,IM175,EFT,1 week-2,0.2048641975308642,0.26387145322516514,0.081
4,IM175,EFT,1 year-1,0.1484814814814815,0.19588720662870693,0.081
5,IM175,EFT,1 year-2,0.18353225806451612,0.1726770621559724,0.1085
6,IM175,EFT,2 years-1,0.16477499999999995,0.2048703764672827,0.0875
7,IM175,EFT,2 years-2,0.16620408163265307,0.20311244623687275,0.095
8,IM175,EFT,5 years-1,0.22016949152542367,0.23684042005203976,0.133
9,IM175,EFT,5 years-2,0.15644230769230769,0.17981705446626323,0.107
10,IM175,EFT,6 month-1,0.13294736842105262,0.17632784995162648,0.078
11,IM175,EFT,6 month-2,0.19326153846153848,0.1536273165939123,0.149
